Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Commit // Memory,23,21,6,U,10.0,Sorcery,0.5454545454545454,0.5227272727272727,1.06260689871521
"Elspeth, Sun's Champion",29,20,6,W,6.0,Planeswalker,0.6,0.5918367346938775,1.0609072285552699
Malevolent Rumble,31,31,9,G,2.0,Sorcery,0.9,0.5,1.0592135909037077
Arbor Elf,36,34,9,G,1.0,Creature,0.6923076923076923,0.5142857142857142,1.058964756041447
Glen Elendra Archmage,39,29,10,U,4.0,Creature,0.7142857142857143,0.5735294117647058,1.0582742272199126
Wood Elves,21,19,6,G,3.0,Creature,0.5,0.525,1.0559790312331983
Court of Garenbrig,24,27,7,G,3.0,Enchantment,0.5833333333333334,0.47058823529411764,1.0549931688476768
Prismari Command,29,28,8,RU,3.0,Instant,0.6666666666666666,0.5087719298245614,1.0547824272483588
Triplicate Titan,33,36,10,,9.0,Creature,0.6666666666666666,0.4782608695652174,1.0531742055436013
Virtue of Loyalty // Ardenvale Fealty,35,30,9,W,5.0,Enchantment,0.6923076923076923,0.5384615384615384,1.0530652697256484
Clarion Spirit,25,20,7,W,2.0,Creature,0.5833333333333334,0.5555555555555556,1.0520534611268313
Recruitment Officer,30,21,8,W,1.0,Creature,0.6666666666666666,0.5882352941176471,1.051487154996627
Watery Grave,40,33,10,BU,0.0,Land,0.7692307692307693,0.547945205479452,1.0514337953401962
Serra Paragon,31,26,7,W,4.0,Creature,0.5833333333333334,0.543859649122807,1.0514082606749109
Miscalculation,33,25,8,U,2.0,Instant,0.7272727272727273,0.5689655172413793,1.0507886865892488
Ziatora's Proving Ground,43,48,13,BGR,0.0,Land,0.8666666666666667,0.4725274725274725,1.050037006347318
Sphinx's Tutelage,20,20,6,U,3.0,Enchantment,0.5,0.5,1.0497657323359832
Seething Landscape,29,27,8,BRU,0.0,Land,0.8888888888888888,0.5178571428571429,1.0493184484669746
Firebolt,45,37,12,R,1.0,Sorcery,0.75,0.5487804878048781,1.0492457106057618
Guardian Scalelord,44,32,10,W,5.0,Creature,0.7142857142857143,0.5789473684210527,1.0485355367392633
Securitron Squadron,29,22,7,W,2.0,Creature,0.7,0.5686274509803921,1.048263955198351
