Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Brain Maggot,42,44,12,B,2.0,Creature,0.8571428571428571,0.4883720930232558,0.9419365887266187
Raffine's Tower,52,29,12,BUW,0.0,Land,0.8571428571428571,0.6419753086419753,1.1980528622733473
"Eiganjo, Seat of the Empire",47,45,12,W,0.0,Land,0.8571428571428571,0.5108695652173914,0.9484126723697325
Jacked Rabbit,27,16,6,W,2.0,Creature,0.8571428571428571,0.627906976744186,1.1641786042458588
Fanatic of Rhonas,16,28,6,G,2.0,Creature,0.8571428571428571,0.36363636363636365,0.8647510142288611
Chain Lightning,47,34,12,R,1.0,Sorcery,0.8571428571428571,0.5802469135802469,1.1708313863621231
Thundering Falls,45,40,12,RU,0.0,Land,0.8571428571428571,0.5294117647058824,1.1029337031880395
Hullbreacher,42,40,12,U,3.0,Creature,0.8571428571428571,0.5121951219512195,1.0751663319104705
Smuggler's Surprise,21,22,6,G,1.0,Instant,0.8571428571428571,0.4883720930232558,0.9869155512874377
Burst Lightning,48,40,12,R,1.0,Instant,0.8571428571428571,0.5454545454545454,1.0318381480905348
Oliphaunt,41,43,12,R,6.0,Creature,0.8571428571428571,0.4880952380952381,1.0382797444990288
Psychic Frog,19,20,6,BU,2.0,Creature,0.8571428571428571,0.48717948717948717,0.9042634242557206
Marsh Flats,50,38,12,,0.0,Land,0.8571428571428571,0.5681818181818182,1.0851529350855846
Mulldrifter,45,40,12,U,5.0,Creature,0.8571428571428571,0.5294117647058824,1.0264904513184625
Baleful Mastery,39,44,12,B,4.0,Instant,0.8571428571428571,0.46987951807228917,0.9001383525030625
Orcish Bowmasters,40,38,11,B,2.0,Creature,0.8461538461538461,0.5128205128205128,0.9819416520075468
Undercity Sewers,42,33,11,BU,0.0,Land,0.8461538461538461,0.56,1.0672870726983774
Collective Brutality,35,45,11,B,2.0,Sorcery,0.8461538461538461,0.4375,0.9864847657192646
Sunfall,45,33,11,W,5.0,Sorcery,0.8461538461538461,0.5769230769230769,1.0423414599628071
Esper Sentinel,38,35,11,W,1.0,Creature,0.8461538461538461,0.5205479452054794,0.9511516701934307
Walking Ballista,49,31,11,,0.0,Creature,0.8461538461538461,0.6125,1.203101026000009
Xander's Lounge,33,42,11,BRU,0.0,Land,0.8461538461538461,0.44,0.8920319161147842
Skyclave Apparition,50,31,11,W,3.0,Creature,0.8461538461538461,0.6172839506172839,1.0746172679058976
"Rankle, Master of Pranks",40,44,11,B,4.0,Creature,0.8461538461538461,0.47619047619047616,0.953866376981679
"Boseiju, Who Endures",35,42,11,G,0.0,Land,0.8461538461538461,0.45454545454545453,0.9666614738221108
Agatha's Soul Cauldron,28,46,11,,2.0,Artifact,0.8461538461538461,0.3783783783783784,0.8151225690757002
"Jace, the Mind Sculptor",41,29,11,U,4.0,Planeswalker,0.8461538461538461,0.5857142857142857,1.110366567098327
Sunpetal Grove,29,45,10,GW,0.0,Land,0.8333333333333334,0.3918918918918919,0.8321355051650843
Condemn,37,33,10,W,1.0,Instant,0.8333333333333334,0.5285714285714286,0.9775305137090352
Bone Shards,38,37,10,B,1.0,Sorcery,0.8333333333333334,0.5066666666666667,1.07473387404819
Temple Garden,35,39,10,GW,0.0,Land,0.8333333333333334,0.47297297297297297,0.9582639733692839
Elegant Parlor,36,29,9,RW,0.0,Land,0.8181818181818182,0.5538461538461539,1.1873759219896123
Lethal Scheme,37,30,9,B,4.0,Instant,0.8181818181818182,0.5522388059701493,1.1473539863044269
Scalding Tarn,34,26,9,,0.0,Land,0.8181818181818182,0.5666666666666667,1.097727989382837
Underground Mortuary,33,30,9,BG,0.0,Land,0.8181818181818182,0.5238095238095238,1.0923157843674078
Collector's Vault,26,35,9,,2.0,Artifact,0.8181818181818182,0.4262295081967213,0.8721423740428321
Cathartic Pyre,28,40,9,R,2.0,Instant,0.8181818181818182,0.4117647058823529,0.8329728223329312
Windswept Heath,25,33,9,,0.0,Land,0.8181818181818182,0.43103448275862066,0.8882120877989804
Unholy Heat,49,45,13,R,1.0,Instant,0.8125,0.5212765957446809,1.1519386824670665
Glorybringer,44,54,13,R,5.0,Creature,0.8125,0.4489795918367347,0.9853964471090546
Jetmir's Garden,38,49,13,GRW,0.0,Land,0.8125,0.4367816091954023,0.8791064882784696
Questing Beast,30,33,8,G,4.0,Creature,0.8,0.47619047619047616,0.9345284336522991
Palace Jailer,54,27,12,W,4.0,Creature,0.8,0.6666666666666666,1.1895917915159326
The Wandering Emperor,31,22,8,W,4.0,Planeswalker,0.8,0.5849056603773585,1.117484169309396
Eagles of the North,34,23,8,W,6.0,Creature,0.8,0.5964912280701754,1.1375500215718888
Shadowy Backstreet,26,30,8,BW,0.0,Land,0.8,0.4642857142857143,0.887035244993288
Brazen Borrower // Petty Theft,40,43,12,U,3.0,Creature,0.8,0.4819277108433735,0.9167726531149809
Three Steps Ahead,25,27,8,U,1.0,Instant,0.8,0.4807692307692308,0.9323217373775246
"Chandra, Torch of Defiance",41,27,11,R,4.0,Planeswalker,0.7857142857142857,0.6029411764705882,1.1463893702347827
